word,freq_d,freq_r,total,log_odds
jobs,49,24,73,0.2145462149812074
benefits,40,33,73,-0.2913894234905916
cybersecurity,33,40,73,-0.6658125076668844
colleagues,44,28,72,-0.039234305794892066
science,44,28,72,-0.039234305794892066
next,49,23,72,0.2553682095014631
leader,35,37,72,-0.5326681868490137
online,49,22,71,0.29792782392025874
thanks,50,21,71,0.3621822137872721
year,50,21,71,0.3621822137872721
transparency,60,11,71,1.1473662488065735
guardrails,56,15,71,0.7918615800160307
could,45,25,70,0.0919438928888745
needs,44,26,70,0.03222465818725251
look,41,29,70,-0.14212872895752504
challenges,43,27,70,-0.026615841835680776
know,48,22,70,0.27772511660273924
country,38,32,70,-0.31154688091557237
cant,58,11,69,1.1140298285389818
real,48,21,69,0.32217687917357285
program,36,33,69,-0.39404357755067476
members,44,24,68,0.10918569932338063
young,41,27,68,-0.07313585747057338
passed,35,33,68,-0.42144255173878964
policy,41,26,67,-0.03676821329969826
step,50,17,67,0.5628529092494237
digital,40,27,67,-0.09723340904963429
society,46,21,67,0.2805041827730044
opportunity,41,25,66,0.0009721146831482841
lives,44,22,66,0.19256730826243196
media,39,26,65,-0.08555837746913042
role,30,34,64,-0.5999618225830057
discussion,44,20,64,0.2835390864681582
making,54,10,64,1.1308369468553625
enforcement,53,10,63,1.1124878081871659
experts,49,14,63,0.7253718387471979
some,44,18,62,0.38362254502514137
consumers,51,10,61,1.0747474802043184
protecting,47,14,61,0.6845498442269422
space,24,37,61,-0.8973113004369235
ais,44,16,60,0.49484818013536547
develop,39,21,60,0.11923603517688264
women,46,14,60,0.6634964350291099
social,36,24,60,-0.08655887780271421
community,40,19,59,0.23923882757157866
morning,31,28,59,-0.3801608927654847
action,49,10,59,1.0355267670510377
around,38,20,58,0.14043824282748485
every,32,26,58,-0.27793027011658644
efforts,32,26,58,-0.27793027011658644
comes,41,17,58,0.36869689480846635
yesterday,40,17,57,0.34459934322940544
learning,36,21,57,0.041274493707170734
advance,36,21,57,0.041274493707170734
information,31,25,56,-0.2709616008004936
together,42,14,56,0.5745489490126143
through,31,25,56,-0.2709616008004936
most,37,19,56,0.16325292059365637
ive,40,16,56,0.4017577570693538
states,18,37,55,-1.1717481461386825
issue,33,22,55,-0.0877346568917261
w,33,22,55,-0.0877346568917261
group,35,20,55,0.060395535153948465
agencies,41,14,55,0.5510184516024204
subcommittee,36,19,55,0.1365846735114955
standards,33,22,55,-0.0877346568917261
full,29,25,54,-0.33550012193806467
live,38,16,54,0.35174733649469214
ensuring,29,25,54,-0.33550012193806467
access,29,24,53,-0.2962794087847831
only,33,20,53,0.003237121314000113
ahead,32,21,53,-0.07313585747057338
discussed,25,28,53,-0.5878002575437291
both,27,25,52,-0.4044929934250163
responsible,42,10,52,0.8847038773164542
doing,28,24,52,-0.3301809604604644
financial,29,23,52,-0.2554574142645274
risk,38,14,52,0.4769104794486978
conversation,37,15,52,0.3863964719078661
establish,33,19,52,0.05202728548343227
letter,39,13,52,0.5712211589199399
especially,41,10,51,0.8611733799062602
years,28,23,51,-0.2893589659402087
such,28,23,51,-0.2893589659402087
dont,40,11,51,0.75006445133757
serious,34,17,51,0.18637533801451145
services,32,18,50,0.07346761672130242
united,18,32,50,-1.0306695478787775
continues,27,23,50,-0.32445028575147905
meet,35,15,50,0.33232925063759033
talk,28,22,50,-0.24679935152141308
quantum,24,26,50,-0.555562006714867
concerns,33,16,49,0.2145462149812074
congratulations,34,15,49,0.3041583736708944
secure,32,17,49,0.12753483799157816
power,31,18,49,0.04269595805454873
tune,37,12,49,0.5940358366861114
accountability,37,12,49,0.5940358366861114
combat,31,18,49,0.04269595805454873
provide,24,24,48,-0.4786009655787389
issues,29,19,48,-0.07313585747057338
irs,15,33,48,-1.2323727679551189
incredible,29,19,48,-0.07313585747057338
day,35,13,48,0.46586064326211307
advanced,28,20,48,-0.15582757331568686
center,23,25,48,-0.5586436732522744
prevent,37,11,48,0.6740785443596478
best,26,21,47,-0.27380655293272405
military,13,34,47,-1.3948916974528922
president,28,19,47,-0.1070374091462547
during,29,18,47,-0.02184256308302235
rapidly,27,20,47,-0.1909188931269572
technological,18,29,47,-0.9353593680744527
excited,36,11,47,0.6474102972774869
importance,22,24,46,-0.5619825745177884
rep,26,20,46,-0.22728653729783144
human,31,15,46,0.2145462149812074
kids,34,12,46,0.5117977384491397
funding,33,12,45,0.4828102015758873
pleased,31,14,45,0.2790847361187785
developing,22,23,45,-0.5211605799975327
local,29,16,45,0.08938307202720175
caucus,25,20,45,-0.26502686528067887
oversight,30,15,45,0.1827975166666267
going,30,15,45,0.1827975166666267
well,25,20,45,-0.26502686528067887
news,27,18,45,-0.090835434569974
biden,16,29,45,-1.0465850031846777
regulation,33,11,44,0.5628529092494237
nsf,29,15,44,0.15000769384363632
economic,29,15,44,0.15000769384363632
made,30,14,44,0.24733603780419777
panel,22,22,44,-0.4786009655787371
met,29,15,44,0.15000769384363632
poses,33,11,44,0.5628529092494237
ways,30,14,44,0.24733603780419777
even,26,17,43,-0.0731358574705725
nations,22,21,43,-0.4341492030079035
capabilities,11,32,43,-1.4902018772572179
vehicle,28,15,43,0.116106142167955
visit,22,20,42,-0.3876291873730109
chairman,18,24,42,-0.7530378112804978
chair,26,16,42,-0.015977443630624144
cannot,28,14,42,0.1806446633055261
hold,26,16,42,-0.015977443630624144
introduce,25,17,42,-0.11087618545341993
theyre,26,15,41,0.04464717818581043
programs,23,18,41,-0.24498611439723206
healthcare,17,24,41,-0.8071050325507745
seeing,24,17,41,-0.1500968986067024
computing,16,25,41,-0.9034841595440044
congressional,30,10,40,0.5574909661080376
business,20,20,40,-0.478600965578738
part,25,15,40,0.006906850202963
innovative,21,19,40,-0.3832907857744141
teams,18,22,40,-0.6696562023414465
americas,22,18,40,-0.2875457288160277
harness,20,20,40,-0.478600965578738
meeting,17,22,39,-0.7237234236117231
icymi,23,16,39,-0.13376047928700796
generation,28,11,39,0.4037882146197367
clear,29,10,39,0.5247011432850472
honored,22,17,39,-0.23347850754575195
google,20,19,39,-0.42981080140930583
adversaries,10,28,38,-1.4480015227668401
selfdriving,24,14,38,0.03222465818725162
back,26,12,38,0.2522865429640557
safeguards,27,11,38,0.36869689480846635
growing,21,17,38,-0.27793027011658733
explicit,25,13,38,0.14043824282748574
taking,23,15,38,-0.07313585747057338
understand,18,20,38,-0.5786844241357203
want,18,19,37,-0.5298942599662881
enjoyed,14,23,37,-0.9486045948244737
very,19,18,37,-0.42730767119118696
powerful,26,11,37,0.3323292506375921
latest,18,19,37,-0.5298942599662881
crucial,22,15,37,-0.11569547188936902
actors,23,14,37,-0.008597336333002303
software,25,12,37,0.2145462149812083
recently,19,18,37,-0.42730767119118696
everyone,25,11,36,0.2945889226547447
plan,22,14,36,-0.051156950751797936
require,22,14,36,-0.051156950751797936
forum,23,13,36,0.06039553515394935
framework,21,15,36,-0.1601472344602044
member,20,16,36,-0.2672918719115307
bring,24,12,36,0.17532550182792583
asked,20,16,36,-0.2672918719115307
tool,26,10,36,0.41934062762722135
build,23,13,36,0.06039553515394935
cochair,14,21,35,-0.8615932178348444
congrats,21,14,35,-0.09560871332263332
spoke,18,17,35,-0.42453374430846136
skills,20,15,35,-0.20666725009509612
before,24,11,35,0.2553682095014622
led,25,10,35,0.3816002996443739
age,22,12,34,0.09194389288887628
any,18,16,34,-0.367375330468513
st,21,13,34,-0.026615841835681664
victims,17,17,34,-0.478600965578738
report,14,20,34,-0.8150732021999518
uses,22,12,34,0.09194389288887628
top,21,13,34,-0.026615841835681664
go,24,10,34,0.34237958649109146
defense,13,21,34,-0.9305860893217943
advancements,16,17,33,-0.5357593794186863
sentoddyoung,12,21,33,-1.0046940614755169
biometrics,11,22,33,-1.1291885317198869
key,17,16,33,-0.42144255173878964
strong,21,12,33,0.04749213031804089
visited,23,10,33,0.30155759197083754
luck,17,16,33,-0.42144255173878964
held,23,10,33,0.30155759197083754
championship,17,16,33,-0.42144255173878964
behind,16,17,33,-0.5357593794186863
training,20,12,32,0.0009721146831491723
advances,14,18,32,-0.7149897436429686
speak,16,16,32,-0.478600965578738
nation,16,16,32,-0.478600965578738
office,15,17,32,-0.5963840012351218
stay,16,16,32,-0.478600965578738
come,20,12,32,0.0009721146831491723
helping,21,10,31,0.21454621498120652
having,16,15,31,-0.4179763437623034
pose,19,12,31,-0.04781804948628299
cyber,11,20,31,-1.0382167535141607
housescience,18,13,31,-0.1732193160275557
system,17,14,31,-0.296279408784784
between,18,12,30,-0.09911134387383314
field,15,15,30,-0.4786009655787389
strengthen,19,11,30,0.0322246581872534
benefit,17,13,30,-0.22728653729783233
abuse,17,12,29,-0.15317856514410977
th,17,12,29,-0.15317856514410977
cuttingedge,14,15,29,-0.54313948671631
app,19,10,29,0.11923603517688264
questions,13,16,29,-0.6727569800196944
changing,18,11,29,-0.01906863620029675
video,15,14,29,-0.4140624444411678
because,18,11,29,-0.01906863620029675
children,11,18,29,-0.9381332949571775
businesses,18,11,29,-0.01906863620029675
after,15,14,29,-0.4140624444411678
supporting,17,12,29,-0.15317856514410977
advancing,19,10,29,0.11923603517688264
fraud,13,16,29,-0.6727569800196944
give,17,12,29,-0.15317856514410977
still,19,10,29,0.11923603517688264
done,18,10,28,0.06794274078933249
honor,18,10,28,0.06794274078933249
recent,13,15,28,-0.6121323582032598
resources,17,11,28,-0.07313585747057338
hard,16,12,28,-0.21033697898405812
machine,15,13,28,-0.34506957295421614
looking,18,10,28,0.06794274078933249
allow,16,12,28,-0.21033697898405812
edge,14,14,28,-0.4786009655787389
industries,13,15,28,-0.6121323582032598
administration,12,16,28,-0.746864952173417
nuclear,15,13,28,-0.34506957295421614
able,13,15,28,-0.6121323582032598
private,16,12,28,-0.21033697898405812
amendment,13,14,27,-0.5475938370656888
set,15,12,27,-0.2709616008004936
maintain,15,12,27,-0.2709616008004936
foreign,12,15,27,-0.6862403303569824
medical,16,11,27,-0.13029427131052174
promote,16,11,27,-0.13029427131052174
sector,14,12,26,-0.33550012193806467
may,14,12,26,-0.33550012193806467
opening,13,13,26,-0.4786009655787371
significant,14,11,25,-0.2554574142645283
ndaa,13,12,25,-0.40449299342501455
values,14,11,25,-0.2554574142645283
statement,11,14,25,-0.7017445168929477
company,13,12,25,-0.40449299342501455
via,10,14,24,-0.7887558938825769
fields,14,10,24,-0.16844603727489904
forefront,14,10,24,-0.16844603727489904
sen,13,11,24,-0.32445028575147816
prepare,12,12,24,-0.4786009655787371
collaboration,11,13,24,-0.632751645405996
worked,10,14,24,-0.7887558938825769
necessary,13,11,24,-0.32445028575147816
researchers,11,13,24,-0.632751645405996
tour,12,11,23,-0.3985582579052007
enhance,11,12,23,-0.5586436732522735
management,12,11,23,-0.3985582579052007
va,13,10,23,-0.23743890876184892
said,11,12,23,-0.5586436732522735
control,10,13,23,-0.7197630223956253
long,13,10,23,-0.23743890876184892
remain,12,11,23,-0.3985582579052007
citizens,12,11,23,-0.3985582579052007
patients,12,10,22,-0.3115468809155715
college,10,12,22,-0.6456550502419027
coming,10,12,22,-0.6456550502419027
commerce,12,10,22,-0.3115468809155715
image,10,12,22,-0.6456550502419027
valley,10,12,22,-0.6456550502419027
never,10,12,22,-0.6456550502419027
regional,12,10,22,-0.3115468809155715
innovators,11,10,21,-0.39158958858910786
dc,10,10,20,-0.4786009655787371
