party,text,clean_text,posted_date,year,name,chamber
D,"As @JustinJonesNV explains, Nevada is a leader in autonomous vehicle technology, allowing Nevadans to have greater access to health care, transportation, and essential services.

It’s time for the rest of the country to follow our lead into the future.
https://t.co/dGZRktDiht","As @JustinJonesNV explains, Nevada is a leader in autonomous vehicle technology, allowing Nevadans to have greater access to health care, transportation, and essential services. It’s time for the rest of the country to follow our lead into the future.",2022-07-11 22:30:00.808,2022,Jacky Rosen D-NV,Senate
D,"Thank you to the staff and students at Olympic High School for having me in class last week! Access to STEM education is critical for all students – keep up the incredible work in aviation, robotics, drones, and so much more! 
@CentralKitsap","Thank you to the staff and students at Olympic High School for having me in class last week! Access to STEM education is critical for all students – keep up the incredible work in aviation, robotics, drones, and so much more! @CentralKitsap",2022-10-11 20:48:40.000,2022,"Cantwell, Maria",Senate
D,"Thanks to students from the RevAmped Robotics Team for inviting me to visit and see their robots at the Project LEDO offices.

The creativity, teamwork, and innovation of these bright young students show the value of STEAM education.","Thanks to students from the RevAmped Robotics Team for inviting me to visit and see their robots at the Project LEDO offices. The creativity, teamwork, and innovation of these bright young students show the value of STEAM education.",2024-06-07 21:40:37.000,2024,"Bonamici, Suzanne",House
D,RT @axios: LIVE: @khart hosts conversations on AI and the future of smart cities with co-chairs of the Congressional Smart Cities Caucus @S…,LIVE: @khart hosts conversations on AI and the future of smart cities with co-chairs of the Congressional Smart Cities Caucus @S…,2019-12-10 23:47:40.687,2019,Yvette Clarke D-NY,House
D,"Wide-ranging town hall in Milford covered immigration, the economy, and the threat of AI-driven deepfakes & disinformation. Thanks for the great back-and-forth!","Wide-ranging town hall in Milford covered immigration, the economy, and the threat of AI-driven deepfakes & disinformation. Thanks for the great back-and-forth!",2023-03-14 15:16:40.000,2023,"Auchincloss, Jake",House
D,"RT @HouseScience: RELEASE: Chairwoman @RepEBJ Applauds Inclusion of Artificial Intelligence Initiative in NDAA 
https://t.co/LaPMRyS1GW",RELEASE: Chairwoman @RepEBJ Applauds Inclusion of Artificial Intelligence Initiative in NDAA,2020-07-22 19:51:14.977,2020,Conor Lamb D-PA,House
R,"American automotive leadership is vital for the future of our national security. But autonomous vehicles aren’t just the future – they are the present – and the harsh reality is the United States is already falling behind on the global stage. 

My full remarks in 
@HouseCommerce
:",American automotive leadership is vital for the future of our national security. But autonomous vehicles aren’t just the future – they are the present – and the harsh reality is the United States is already falling behind on the global stage. My full remarks in @HouseCommerce :,2023-07-27 13:24:59.000,2023,"Latta, Robert ",House
D,"Congratulations to STEM High School and Firestone Community Centers robotics team on advancing to the 2022 VEX World Championship against all odds. Your hard work and determination haven’t gone unnoticed. Go get ‘em! 

https://t.co/Mdt2vfgxOa",Congratulations to STEM High School and Firestone Community Centers robotics team on advancing to the 2022 VEX World Championship against all odds. Your hard work and determination haven’t gone unnoticed. Go get ‘em!,2022-06-14 15:45:00.224,2022,Tim Ryan D-OH,House
D,"Thrilled to join DEKA &amp; FIRST Robotics founder Dean Kamen today at the official presentation for the Christa McAuliffe Commemorative Coin, which will honor Christa's legacy by investing in STEM education. Appreciate the bipartisan support in Congress to make this a reality. https://t.co/aKM5kw0aKI","Thrilled to join DEKA &amp; FIRST Robotics founder Dean Kamen today at the official presentation for the Christa McAuliffe Commemorative Coin, which will honor Christa's legacy by investing in STEM education. Appreciate the bipartisan support in Congress to make this a reality.",2021-07-01 19:14:59.964,2021,Jeanne Shaheen D-NH,Senate
D,"Local students are putting Pahrump on the map for their amazing work in robotics. This is what happens when we invest in our kids and encourage them to pursue a STEM education. #InnovationState
 
https://t.co/s2IA4kOWZu",Local students are putting Pahrump on the map for their amazing work in robotics. This is what happens when we invest in our kids and encourage them to pursue a STEM education. #InnovationState,2019-02-25 17:33:29.033,2019,Catherine Masto D-NV,Senate
D,The @RIDOTNews Little Roady autonomous vehicle pilot is officially underway at @QuonsetRI. Autonomous electric cars are the future and I’m glad to see RI pioneering this new transit option. https://t.co/rvqF8fInOw,The @RIDOTNews Little Roady autonomous vehicle pilot is officially underway at @QuonsetRI. Autonomous electric cars are the future and I’m glad to see RI pioneering this new transit option.,2019-02-21 18:10:48.048,2019,Sheldon Whitehouse D-RI,Senate
D,"Michigan’s unique auto and mobility ecosystem is unparalleled and does not exist elsewhere in the country. Self-driving cars are the future of the auto industry and they represent an opportunity to improve and diversify our economy here in Michigan, while also improving safety.","Michigan’s unique auto and mobility ecosystem is unparalleled and does not exist elsewhere in the country. Self-driving cars are the future of the auto industry and they represent an opportunity to improve and diversify our economy here in Michigan, while also improving safety.",2019-09-12 13:29:27.702,2019,Debbie Dingell D-MI,House
D,It was great to catch up with Wi-Tronix in Bolingbrook to learn more about how their AI-enabled technology is modernizing our rail industry. Thanks for showing me around!,It was great to catch up with Wi-Tronix in Bolingbrook to learn more about how their AI-enabled technology is modernizing our rail industry. Thanks for showing me around!,2024-10-28 16:01:20.000,2024,"Foster, Bill",House
D,"Pittsburgh is the birthplace of autonomous vehicles. While this industry barely existed 20 years ago, it is now responsible for over 14,000 jobs, $651M in income, $34.7M in state and local tax revenue, and $126.7M in federal tax revenues JUST IN WESTERN PA!","Pittsburgh is the birthplace of autonomous vehicles. While this industry barely existed 20 years ago, it is now responsible for over 14,000 jobs, $651M in income, $34.7M in state and local tax revenue, and $126.7M in federal tax revenues JUST IN WESTERN PA!",2022-04-18 21:15:49.153,2022,Mike Doyle D-PA,House
D,Detroit’s Foreign Language Immersion and Cultural Studies School’s Middle School Robotics Team is the first Detroit Public School to attend the For Inspiration and Recognition of Science and Technology (FIRST) International Championship in 30 years! Congratulations!,Detroit’s Foreign Language Immersion and Cultural Studies School’s Middle School Robotics Team is the first Detroit Public School to attend the For Inspiration and Recognition of Science and Technology (FIRST) International Championship in 30 years! Congratulations!,2023-04-26 15:11:00.000,2023,"Tlaib, Rashida",House
R,"OpenAI won’t show an image of an “undocumented migrant” in New York. 

But they’ll tell illegals exactly where to go to get your money. 

The list of states won’t surprise you.",OpenAI won’t show an image of an “undocumented migrant” in New York. But they’ll tell illegals exactly where to go to get your money. The list of states won’t surprise you.,2024-02-24 19:54:33.000,2024,"Bishop, Dan",House
R, NEW BILL: @SenRickScott &amp; I introduced the Ban Big Brother IRS Biometrics Act. We joined American taxpayers in sounding the alarm over the IRS's plan to collect intrusive facial scans of taxpayers trying to get their tax refunds.,NEW BILL: @SenRickScott &amp; I introduced the Ban Big Brother IRS Biometrics Act. We joined American taxpayers in sounding the alarm over the IRS's plan to collect intrusive facial scans of taxpayers trying to get their tax refunds.,2022-02-09 21:31:36.248,2022,Tommy Tuberville R-AL,Senate
R,"The IRS should focus on protecting the data of Hoosiers and preventing fraud, not exposing taxpayers to unnecessary facial recognition.","The IRS should focus on protecting the data of Hoosiers and preventing fraud, not exposing taxpayers to unnecessary facial recognition.",2022-02-08 19:45:29.388,2022,Todd Young R-IN,Senate
R,"At 
@HomelandGOP
, I asked 
@SecMayorkas
 if he's happy with the $$ amount that DHS is requesting for new AI technologies to help agents analyze data in child sexual exploitation cases.

In short, his answer was no — Mayorkas knows we need more funding & manpower to address every…","At @HomelandGOP , I asked @SecMayorkas if he's happy with the $$ amount that DHS is requesting for new AI technologies to help agents analyze data in child sexual exploitation cases. In short, his answer was no — Mayorkas knows we need more funding & manpower to address every…",2024-04-16 17:15:41.000,2024,"Luttrell, Morgan",House
R,"I will fight each day to protect the privacy of American citizens. The IRS forcing taxpayers to use a third-party facial recognition software is the epitome of ""Big Brother is Watching."" I’m working to ensure this plan does not move forward.  https://t.co/X9mzFal0rg","I will fight each day to protect the privacy of American citizens. The IRS forcing taxpayers to use a third-party facial recognition software is the epitome of ""Big Brother is Watching."" I’m working to ensure this plan does not move forward.",2022-02-04 15:28:40.153,2022,Ben Cline R-VA,House
D,"The IRS was right to walk back their use of facial recognition technology, but we need to make sure Americans have permanent privacy and security protections.

@RoyBlunt and I will introduce legislation soon that will permanently ban the IRS from using biometric recognition tech.","The IRS was right to walk back their use of facial recognition technology, but we need to make sure Americans have permanent privacy and security protections. @RoyBlunt and I will introduce legislation soon that will permanently ban the IRS from using biometric recognition tech.",2022-02-10 21:00:44.305,2022,Jeff Merkley D-OR,Senate
R,"Glad the IRS is abandoning their plan to use facial recognition for identity verification. This is a big win for privacy and common-sense, and something I fought for: https://t.co/jvxemtNdLk  https://t.co/EQpLtJ3VIx","Glad the IRS is abandoning their plan to use facial recognition for identity verification. This is a big win for privacy and common-sense, and something I fought for:",2022-02-08 00:17:38.305,2022,Rob Portman R-OH,Senate
R,"ICYMI: My colleagues and I sent a letter to the IRS last week opposing its plan requiring taxpayers to use third-party facial recognition technology to access online resources. Yesterday, the IRS rightly announced that it is transitioning away from this intrusive practice. https://t.co/FVrwt8Zhk9","ICYMI: My colleagues and I sent a letter to the IRS last week opposing its plan requiring taxpayers to use third-party facial recognition technology to access online resources. Yesterday, the IRS rightly announced that it is transitioning away from this intrusive practice.",2022-02-08 19:45:28.255,2022,Todd Young R-IN,Senate
D,"Following the IRS's disturbing announcement that they will use facial recognition technology for users accessing their tax info online, @RoyBlunt and I sent a letter to the IRS demanding they immediately stop any programs that collect, store or use taxpayers’ biometric data. https://t.co/lUNYSpbuGN","Following the IRS's disturbing announcement that they will use facial recognition technology for users accessing their tax info online, @RoyBlunt and I sent a letter to the IRS demanding they immediately stop any programs that collect, store or use taxpayers’ biometric data.",2022-02-03 22:38:15.394,2022,Jeff Merkley D-OR,Senate
D,"Outrageous and terrifying news:

Health insurance corporations are using unregulated AI algorithms to deny care for people on Medicare Advantage.

Robots should not be making life-or-death decisions. 

Help us tell 
@POTUS
 to stop #DeathByAI https://heroes.win/StopDeathByAI",Outrageous and terrifying news: Health insurance corporations are using unregulated AI algorithms to deny care for people on Medicare Advantage. Robots should not be making life-or-death decisions. Help us tell @POTUS to stop #DeathByAI,2023-03-27 11:58:06.000,2023,"Pingree, Chellie",House
R,THE IRS abandoning its pursuit of facial recognition technology is good news for Americans who are concerned about their privacy and big government overreach. I am proud to have introduced the #FACEAct to ban the IRS from requiring taxpayers to use facial recognition. (1/2),THE IRS abandoning its pursuit of facial recognition technology is good news for Americans who are concerned about their privacy and big government overreach. I am proud to have introduced the #FACEAct to ban the IRS from requiring taxpayers to use facial recognition. (1/2),2022-02-07 19:41:17.964,2022,Bill Huizenga R-MI,House
R,"Great to hear from Sec. @StevenMnuchin1 today on the work being done at Treasury and the IRS, including increased use of artificial intelligence to help assist taxpayers more efficiently. I look forward to continuing to work with @USTreasury to improve tax-payers experience.","Great to hear from Sec. @StevenMnuchin1 today on the work being done at Treasury and the IRS, including increased use of artificial intelligence to help assist taxpayers more efficiently. I look forward to continuing to work with @USTreasury to improve tax-payers experience.",2020-03-03 16:05:22.788,2020,David Schweikert R-AZ,House
D,".@RoyBlunt and I are facing off against the IRS’s recent requirement that forced people to use facial recognition technology to access tax information online. The IRS recently walked back using this tech, but we want to make sure it’s banned for good. https://t.co/vKDyn3dTmU",".@RoyBlunt and I are facing off against the IRS’s recent requirement that forced people to use facial recognition technology to access tax information online. The IRS recently walked back using this tech, but we want to make sure it’s banned for good.",2022-02-22 17:20:35.502,2022,Jeff Merkley D-OR,Senate
R,"The fact that this was a serious proposition to begin with is absolutely appalling. The IRS can’t even protect the data that it does have access to – why in the world would we give them access to our biometric data?

https://t.co/SNpBxid3Bt",The fact that this was a serious proposition to begin with is absolutely appalling. The IRS can’t even protect the data that it does have access to – why in the world would we give them access to our biometric data?,2022-02-10 20:58:34.205,2022,Cynthia Lummis R-WY,Senate
D,"Today, 
@RepJerryNadler
, 
@SenWarren
, and I led a bicameral, bipartisan letter with 45 House Members and 4 Senators to 
@CMSGov
 urging heightened scrutiny of AI and algorithmic software that influence coverage decisions in Medicare Advantage plans.","Today, @RepJerryNadler , @SenWarren , and I led a bicameral, bipartisan letter with 45 House Members and 4 Senators to @CMSGov urging heightened scrutiny of AI and algorithmic software that influence coverage decisions in Medicare Advantage plans.",2024-06-25 18:10:30.000,2024,"Chu, Judy",House
D,"Can confirm I am not AI.

Neither are the thousands of Michiganders concerned about protecting women’s health, lowering costs, and protecting our democracy.","Can confirm I am not AI. Neither are the thousands of Michiganders concerned about protecting women’s health, lowering costs, and protecting our democracy.",2024-08-12 15:35:37.000,2024,"Thanedar, Shri",House
R,"This is why it’s critical that we utilize biometrics and GPS technology to ensure that law enforcement can pinpoint the exact location of illegal aliens prior to deportation.

I am proud to join Sen. Hagerty in offering this commonsense proposal on behalf of the American people.",This is why it’s critical that we utilize biometrics and GPS technology to ensure that law enforcement can pinpoint the exact location of illegal aliens prior to deportation. I am proud to join Sen. Hagerty in offering this commonsense proposal on behalf of the American people.,2024-05-16 22:29:35.000,2024,"Donalds, Byron",House
R,RT @SBGC2C: .@RepChuck on the border crisis: “I’m encouraging the administration and members on my subcommittee and on both sides of the ai…,.@RepChuck on the border crisis: “I’m encouraging the administration and members on my subcommittee and on both sides of the ai…,2019-04-03 15:56:21.233,2019,Chuck Fleischmann R-TN,House
R,"We are preparing to pass the NDAA this week!

The FY25 #NDAA invests in innovative technologies that are crucial for deterring our adversaries including hypersonics, AI, quantum computing, and autonomous systems.

@HASCRepublicans
.","We are preparing to pass the NDAA this week! The FY25 #NDAA invests in innovative technologies that are crucial for deterring our adversaries including hypersonics, AI, quantum computing, and autonomous systems. @HASCRepublicans .",2024-06-11 15:01:36.000,2024,"Mace, Nancy",House
D,"Trust is the bedrock of our democracy. With AI and election disinformation on the rise, we need to get proactive to ensure people can trust what they are reading, hearing, and seeing online. Good to see our friend Bill Monning leading on this effort.","Trust is the bedrock of our democracy. With AI and election disinformation on the rise, we need to get proactive to ensure people can trust what they are reading, hearing, and seeing online. Good to see our friend Bill Monning leading on this effort.",2024-01-27 19:00:00.000,2024,"Panetta, Jimmy",House
R,I was happy to have my amendment included in this year’s NDAA to ensure the Pentagon is equipped with AI-driven defensive cyber tools to stay ahead of emerging AI-based cyber weapons in the hands of foreign adversaries and cybercriminals.,I was happy to have my amendment included in this year’s NDAA to ensure the Pentagon is equipped with AI-driven defensive cyber tools to stay ahead of emerging AI-based cyber weapons in the hands of foreign adversaries and cybercriminals.,2023-12-20 20:13:17.000,2023,"Obernolte, Jay",House
D,"This year’s defense package also includes FIVE of my bipartisan bills to strengthen U.S. cyber and AI capabilities, require disclosure of testing for toxic PFAS chemicals at military installations, and support Reservists and Guardsmen. [3/4]","This year’s defense package also includes FIVE of my bipartisan bills to strengthen U.S. cyber and AI capabilities, require disclosure of testing for toxic PFAS chemicals at military installations, and support Reservists and Guardsmen. [3/4]",2021-12-15 17:44:20.071,2021,Jacky Rosen D-NV,Senate
D,Protecting the integrity of our election system is something both parties should be able to agree on. That is why I'm proud to introduce my new bipartisan bill to stop AI-generated deceptive content from manipulating federal elections.,Protecting the integrity of our election system is something both parties should be able to agree on. That is why I'm proud to introduce my new bipartisan bill to stop AI-generated deceptive content from manipulating federal elections.,2023-09-13 19:13:20.000,2023,"Coons, Christopher ",Senate
D,"Proud to vote for the bipartisan #NDAA providing resources &amp; equipment needed to support our troops and keep America safe. In addition to supporting our military, the bill recognizes importance of @DoDMinerva &amp; @Hacking4Defense and increases coordination on #greenchemistry &amp; #AI.","Proud to vote for the bipartisan #NDAA providing resources &amp; equipment needed to support our troops and keep America safe. In addition to supporting our military, the bill recognizes importance of @DoDMinerva &amp; @Hacking4Defense and increases coordination on #greenchemistry &amp; #AI.",2020-07-21 22:44:16.198,2020,Dan Lipinski D-IL,House
D,"Proud the House passed #NDAA yesterday. Along with supporting our military, the #NDAA included the #greenchemistry R&amp;D bill I wrote and introduced along with @RepMoolenaar, restores @DoDMinerva, affirms value of @Hacking4Defense, and increases federal coordination on #AI.","Proud the House passed #NDAA yesterday. Along with supporting our military, the #NDAA included the #greenchemistry R&amp;D bill I wrote and introduced along with @RepMoolenaar, restores @DoDMinerva, affirms value of @Hacking4Defense, and increases federal coordination on #AI.",2020-12-09 20:13:28.351,2020,Dan Lipinski D-IL,House
D,ATTN: #DACA recipients can renew applications during #COVID19 office closures. @USCIS will reuse previously submitted biometrics to process work authorization applications. https://t.co/kN9daA61QK,ATTN: #DACA recipients can renew applications during #COVID19 office closures. @USCIS will reuse previously submitted biometrics to process work authorization applications.,2020-03-31 17:12:57.840,2020,Jim Cooper D-TN,House
D,"1/ The new rules @HouseDemocrats plan to pass today include groundbreaking reforms to keep members of Congress accountable, such as removing House floor access from former members convicted of corruption &amp; banning the dissemination of deepfakes on congressional accounts.","1/ The new rules @HouseDemocrats plan to pass today include groundbreaking reforms to keep members of Congress accountable, such as removing House floor access from former members convicted of corruption &amp; banning the dissemination of deepfakes on congressional accounts.",2021-01-04 21:12:55.223,2021,Dwight Evans D-PA,House
R,"The FY25 #NDAA will:

→ Restore American deterrence
→ Support modernizing our nuclear triad
→ Boost innovation by advancing AI
→ Expand counter drone efforts

This bill is focused on strengthening our military.",The FY25 #NDAA will: → Restore American deterrence → Support modernizing our nuclear triad → Boost innovation by advancing AI → Expand counter drone efforts This bill is focused on strengthening our military.,2024-06-10 14:40:21.000,2024,"Alford, Mark",House
D,"I’m pleased to see 
@JRosenworcelFCC
 and the FCC move forward with a proposed rule to protect consumers from malicious robocalls powered by AI-tools – a critical step against voice cloning scams that are already reaching and harming Americans.",I’m pleased to see @JRosenworcelFCC and the FCC move forward with a proposed rule to protect consumers from malicious robocalls powered by AI-tools – a critical step against voice cloning scams that are already reaching and harming Americans.,2024-08-14 21:03:18.000,2024,"Clarke, Yvette ",House
R,"The Senators are exactly right. 

This DNC-backed plan to impose new regulations on political speech before the election is as misguided as it is unlawful.


@LeaderMcConnell
 
@SenJohnThune
 
@SenTedCruz
 
@SenEricSchmitt
 + FEC Chairman 
@SeanJCooksey
 push back:

https://breitbart.com/politics/2024/06/06/exclusive-senate-republicans-accuse-fcc-being-de-facto-arm-biden-campaign-advancing-election-year-ai-advertising-regulations/…",The Senators are exactly right. This DNC-backed plan to impose new regulations on political speech before the election is as misguided as it is unlawful. @LeaderMcConnell @SenJohnThune @SenTedCruz @SenEricSchmitt + FEC Chairman @SeanJCooksey push back:,2024-06-06 22:06:22.000,2024,"Schmitt, Eric",Senate
R,My AI for National Security Act was adopted into the House NDAA last week – an important first step to securing its passage. The legislation will help improve security of DOD computer systems through AI enabled cybersecurity. Learn more about it here: https://t.co/qXvAnqrdn7,My AI for National Security Act was adopted into the House NDAA last week – an important first step to securing its passage. The legislation will help improve security of DOD computer systems through AI enabled cybersecurity. Learn more about it here:,2022-06-29 19:47:42.807,2022,Jay Obernolte R-CA,House
R,"Modernizing our military is crucial to deterring our adversaries. 

The FY25 #NDAA promotes the advancement of AI innovation, ensuring we stay ahead of Communist China.","Modernizing our military is crucial to deterring our adversaries. The FY25 #NDAA promotes the advancement of AI innovation, ensuring we stay ahead of Communist China.",2024-06-10 12:55:11.000,2024,"Fallon, Pat",House
